data,total_vendas,receita_total
2023-12-02,84,50456.58
2023-12-01,78,50023.94
2023-12-04,67,40783.0
2023-12-31,75,55757.38
2023-12-28,73,45239.63
2023-12-03,75,50981.71
2023-12-26,62,42411.16
2023-12-21,70,39467.5
2023-12-29,68,44012.05
2023-12-27,75,47903.98
2023-12-11,69,62267.6
2023-12-12,64,37915.4
2023-12-07,69,46392.29
2023-12-05,65,35591.26
2023-12-30,61,41963.5
2023-12-19,72,45244.86
2023-12-15,58,39913.51
2023-12-25,60,36882.81
2023-12-10,63,35884.87
2023-12-18,58,38654.82
2023-12-20,56,30264.05
2023-12-16,72,46601.59
2023-12-13,54,30940.03
2023-12-24,73,43723.78
2023-12-08,65,49164.76
2023-12-22,66,50092.48
2023-12-06,62,38618.55
2023-12-14,58,36182.26
2023-12-23,65,38017.61
2023-12-17,62,44493.62
2023-12-09,64,39338.75
